plad_id,leader,country,startyear,endyear,adm1,adm0,foreign_leader,geo_precision,latitude,longitude
UGA_1986_1,Museveni,Uganda,1986,2023,Ntungamo,Uganda,0,1,-0.9350000023841858,30.28805923461914
UKG_1979_1,Thatcher,United Kingdom,1979,1990,England,United Kingdom,0,1,52.91149139404297,-0.6418399810791016
UKG_1990_1,Major,United Kingdom,1990,1997,England,United Kingdom,0,1,51.24787139892578,-0.4205999970436096
UKG_1997_1,Blair,United Kingdom,1997,2007,Scotland,United Kingdom,0,1,55.95206069946289,-3.1964800357818604
UKG_2007_1,Brown,United Kingdom,2007,2010,Scotland,United Kingdom,0,3,55.83332824707031,-4.5
UKG_2010_1,Cameron,United Kingdom,2010,2016,England,United Kingdom,0,1,51.50852966308594,-0.12574000656604767
UKG_2016_1,May,United Kingdom,2016,2019,England,United Kingdom,0,1,50.76871109008789,0.28453001379966736
UKG_2019_1,Johnson,United Kingdom,2019,2022,New York,United States,1,1,40.714271545410156,-74.00596618652344
UKG_2022_1,Truss,United Kingdom,2022,2022,England,United Kingdom,0,1,51.75,-1.2599999904632568
UKG_2022_2,Sunak,United Kingdom,2022,2023,England,United Kingdom,0,1,50.91659927368164,-1.3832999467849731
UKR_1990_1,Kravchuk,Ukraine,1990,1994,Rivne,Ukraine,0,1,50.38999938964844,26.209999084472656
UKR_1994_1,Kuchma,Ukraine,1994,2005,Chernihiv,Ukraine,0,1,52.00577163696289,33.26150131225586
UKR_2005_1,Yushchenko,Ukraine,2005,2010,Sumy,Ukraine,0,1,50.90898132324219,33.81372833251953
UKR_2010_1,Yanukovych,Ukraine,2010,2014,Donets'k,Ukraine,0,1,48.23331069946289,38.211368560791016
UKR_2014_1,Oleksandr Turchynov,Ukraine,2014,2014,Dnipropetrovs'k,Ukraine,0,1,48.46664047241211,35.0406608581543
UKR_2014_2,Petro Poroshenko,Ukraine,2014,2019,Odessa,Ukraine,0,1,45.677860260009766,28.61811065673828
UKR_2019_1,Volodymyr Zelensky,Ukraine,2019,2023,Dnipropetrovs'k,Ukraine,0,1,47.90571975708008,33.394039154052734
URU_1985_1,Sanguinetti,Uruguay,1985,1990,Montevideo,Uruguay,0,1,-34.90327835083008,-56.18815994262695
URU_1990_1,Lacalle de Herrera,Uruguay,1990,1995,Montevideo,Uruguay,0,1,-34.90327835083008,-56.18815994262695
URU_1995_1,Sanguinetti,Uruguay,1995,2000,Montevideo,Uruguay,0,1,-34.90327835083008,-56.18815994262695
URU_2000_1,Jorge Batlle,Uruguay,2000,2005,Montevideo,Uruguay,0,1,-34.90327835083008,-56.18815994262695
URU_2005_1,Tabare Vazquez,Uruguay,2005,2010,Montevideo,Uruguay,0,1,-34.864768981933594,-56.234039306640625
URU_2010_1,Jose Mujica,Uruguay,2010,2015,Montevideo,Uruguay,0,1,-34.90327835083008,-56.18815994262695
URU_2015_1,Tabare Vazquez,Uruguay,2015,2020,Montevideo,Uruguay,0,1,-34.864768981933594,-56.234039306640625
URU_2020_1,Luis Lacalle Pou,Uruguay,2020,2023,Montevideo,Uruguay,0,1,-34.90327835083008,-56.18815994262695
USA_1989_1,G.H.W. Bush,United States of America,1989,1993,Massachusetts,United States,0,1,42.24953842163086,-71.066162109375
USA_1993_1,Clinton,United States of America,1993,2001,Arkansas,United States,0,1,33.66706085205078,-93.59156799316406
USA_2001_1,G.W. Bush,United States of America,2001,2009,Connecticut,United States,0,1,41.30815124511719,-72.92816162109375
USA_2009_1,Obama,United States of America,2009,2017,Hawaii,United States,0,1,21.30694007873535,-157.85833740234375
USA_2017_1,Trump,United States of America,2017,2021,New York,United States,0,1,40.68149185180664,-73.83651733398438
USA_2021_1,Joe Biden,United States of America,2021,2023,Pennsylvania,United States,0,1,41.40999984741211,-75.66000366210938
UZB_1990_1,Karimov,Uzbekistan,1990,2016,Samarkand,Uzbekistan,0,1,39.627010345458984,66.9749755859375
UZB_2016_1,Nigmatilla Yuldashev,Uzbekistan,2016,2016,Tashkent City,Uzbekistan,0,1,41.2646484375,69.21627044677734
UZB_2016_2,Shavkat Mirziyoyev,Uzbekistan,2016,2023,Jizzakh,Uzbekistan,0,3,39.96310043334961,68.3938980102539
VEN_1989_1,Andres Perez,Venezuela,1989,1993,Táchira,Venezuela,0,1,7.69885778427124,-72.36071014404297
VEN_1993_1,Velasquez,Venezuela,1993,1994,Táchira,Venezuela,0,1,8.038898468017578,-72.25414276123047
VEN_1994_1,Caldera Rodriguez,Venezuela,1994,1999,Yaracuy,Venezuela,0,1,10.5,-68.63333129882812
VEN_1999_1,Hugo Chavez,Venezuela,1999,2012,Barinas,Venezuela,0,1,8.761015892028809,-69.93716430664062
VEN_2012_1,Maduro,Venezuela,2012,2023,Distrito Capital,Venezuela,0,1,10.48059368133545,-66.90360260009766
YEM_1978_1,Saleh al-Hashidi,Yemen,1978,2012,San`a',Yemen,0,1,15.225199699401855,44.30569839477539
YEM_2012_1,Abd Rabbuh Mansur Hadi,Yemen,2012,2022,Abyan,Yemen,0,1,13.713600158691406,46.01219940185547
YEM_2022_1,Rashad Mohammed al-Alimi,Yemen,2022,2023,Ta`izz,Yemen,0,4,13.5,44.0
YPR_1986_1,Attas,Yemen,1986,1990,,Yemen,,7,,
YUG_1989_1,Milosevic,Yugoslavia,1989,2000,Branicevski,Serbia,0,1,44.62133026123047,21.187820434570312
YUG_2000_1,Kostunica,Yugoslavia,2000,2003,Grad Beograd,Serbia,0,4,44.80400848388672,20.465129852294922
YUG_2003_1,Svetozar Marovic,Yugoslavia,2003,2006,Kotor,Montenegro,0,1,42.42066955566406,18.76824951171875
ZAM_1964_1,Kaunda,Zambia,1964,1991,Muchinga,Zambia,0,1,-10.537149429321289,32.072383880615234
ZAM_1991_1,Chiluba,Zambia,1991,2002,Copperbelt,Zambia,0,1,-12.823195457458496,28.217573165893555
ZAM_2002_1,Levy Mwanawasa,Zambia,2002,2008,Copperbelt,Zambia,0,1,-12.550270080566406,28.240966796875
ZAM_2008_1,Banda,Zambia,2008,2011,Matabeleland South,Zimbabwe,1,3,-21.20928955078125,29.175569534301758
ZAM_2011_1,Sata,Zambia,2011,2014,Muchinga,Zambia,0,1,-12.028900146484375,31.3422794342041
ZAM_2014_1,Scott,Zambia,2014,2015,Southern,Zambia,0,1,-17.84193992614746,25.854249954223633
ZAM_2015_1,Edgar Lungu,Zambia,2015,2021,Copperbelt,Zambia,0,1,-12.958669662475586,28.63658905029297
ZAM_2021_1,Hakainde Hichilema,Zambia,2021,2023,Southern,Zambia,0,3,-16.100000381469727,27.360000610351562
ZIM_1980_1,Mugabe,Zimbabwe,1980,2017,Mashonaland West,Zimbabwe,0,1,-17.73332977294922,30.416669845581055
ZIM_2017_1,Mnangagwa,Zimbabwe,2017,2023,Midlands,Zimbabwe,0,1,-20.326740264892578,30.06648063659668
